Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
ABALONE,67.33,147,18.365,3.77,1.67,8.53,0,0,0.034,0.003495,0.052,0.2035,0.267,0.446,8.85E-04,2.12E-04,5.50E-05,4.83E-05,0.0019,2.05E-04,1.15E-04,0.0017,0.002935,1.50E-04,9.50E-06,4.50E-06,5.00E-06,1.25E-05,0.065,7.10E-07,2.00E-06,0,0,0,0,0,0.004,0,2.30E-05,0.8975,1.424,0.89,0.0895,1.80E-06
ABIYUCH,79.9,69,1.5,0.1,0.9,17.6,5.3,8.55,0.008,0.00161,0.024,0.047,0.304,0.02,3.10E-04,5.70E-05,1.82E-04,0,0.0541,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-05,0,0,0,0,0,0,0.014,0,0,0,3.00E-05
ACEROLA,91.41,32,0.4,0.3,0.2,7.69,1.1,0,0.012,2.00E-04,0.018,0.011,0.146,0.007,1.00E-04,8.60E-05,0,6.00E-07,1.6776,2.00E-05,6.00E-05,4.00E-04,3.09E-04,9.00E-06,1.40E-05,0,1.40E-05,1.40E-05,0,0,0,0,0,0,0,0,0,0,0,0.068,0.082,0.09,0,2.30E-04
ACEROLA JUICE,94.3,23,0.4,0.3,0.2,4.8,0.3,4.5,0.01,5.00E-04,0.012,0.009,0.097,0.003,1.00E-04,8.60E-05,0,1.00E-07,1.6,2.00E-05,6.00E-05,4.00E-04,2.05E-04,4.00E-06,1.40E-05,0,1.40E-05,1.40E-05,0,0,0,0,3.05E-04,0,0,1.70E-05,1.80E-04,0,1.40E-06,0.068,0.082,0.09,0,1.53E-04
ACORN FLOUR,6,501,7.49,30.17,1.69,54.65,0,0,0.043,0.00121,0.11,0.103,0.712,0,6.40E-04,6.11E-04,0.001743,0,0,1.46E-04,1.54E-04,0.002382,9.31E-04,6.88E-04,1.14E-04,0,1.14E-04,1.14E-04,0,0,0,0,0,0,0,0,0,0,0,3.923,19.11,5.813,0,1.53E-05
ACORNS,16.48,448,7.125,27.635,1.565,47.205,0,0,0.0475,9.15E-04,0.072,0.091,0.624,0,5.90E-04,7.20E-04,0.00135,0,0,1.31E-04,1.36E-04,0.0021165,8.27E-04,6.12E-04,1.01E-04,0,1.01E-04,1.01E-04,0,0,0,0,0,0,0,0,0,0,0,3.593,17.5025,5.324,0,5.85E-06
AGAVE,65.4,135,0.99,0.29,1.32,32,10.6,20.87,0.46,0.00355,0.055,0.009,0.127,0.014,2.50E-04,1.38E-04,1.42E-04,4.00E-07,3.00E-04,2.10E-05,9.90E-05,1.62E-04,4.10E-05,8.70E-05,7.00E-06,0,7.00E-06,7.00E-06,0.0088,0,0,0,2.20E-05,0,0,0,3.60E-04,0,4.90E-06,0,0,0,0,1.11E-05
AGUTUK,47.3,353,9,31.8,3.6,10.5,0.5,0,0.012,3.00E-04,0.016,0.134,0.206,0.024,4.70E-04,3.00E-05,9.50E-05,0,0.00255,6.00E-05,6.00E-05,0.00143,9.85E-04,1.20E-04,3.50E-06,0,3.50E-06,0,0,4.83E-06,0,0,0,0,0,0,0.00318,0,0,7.7,14.4,8.4,0.026,1.68E-04
ALFALFA SEEDS,92.82,23,3.99,0.69,0.4,2.1,1.9,0.2,0.032,9.60E-04,0.027,0.07,0.079,0.006,9.20E-04,1.57E-04,1.88E-04,6.00E-07,0.0082,7.60E-05,1.26E-04,4.81E-04,5.63E-04,3.40E-05,3.60E-05,0,3.60E-05,3.60E-05,0.0144,0,0,6.00E-06,8.70E-05,6.00E-06,0,0,2.00E-05,0,3.05E-05,0.069,0.056,0.409,0,4.65E-05
ALLSPICE,8.46,263,6.09,8.69,4.65,72.12,21.6,0,0.661,0.00706,0.135,0.113,1.044,0.077,0.00101,5.53E-04,0.002943,2.70E-06,0.0392,1.01E-04,6.30E-05,0.00286,0,2.10E-04,3.60E-05,0,3.60E-05,3.60E-05,0,0,0,0,0,0,0,0,0,0,0,2.55,0.66,2.36,0,1.62E-04
ALMOND BUTTER,1.64,614,20.96,55.5,3.09,18.82,10.3,5.35,0.347,0.00349,0.279,0.508,0.748,0.117,0.00329,9.34E-04,0.002131,2.40E-06,0,4.10E-05,9.39E-04,0.003155,3.18E-04,1.03E-04,5.30E-05,0,5.30E-05,5.30E-05,0.0521,0,0,0,1.00E-06,0,0,1.00E-06,0.02421,0,0,5.351,32.445,13.613,0,3.00E-07
ALMONDS,2.605,598,21.095,52.54,3.07,19.84,10.7,4.63,0.268,0.00368,0.274,0.4685,0.699,0.0745,0.00307,9.99E-04,0.002232,3.20E-06,0,9.20E-05,8.67E-04,0.003637,2.86E-04,1.18E-04,4.05E-05,0,4.05E-05,4.05E-05,0.0521,0,0,0,1.00E-06,0,0,1.00E-06,0.0239,0,0,4.15,33.2455,12.955,0,3.00E-07
AMARANTH GRAIN,43.225,236.5,8.68,4.3,1.825,41.97,4.4,1.69,0.103,0.004855,0.1565,0.3525,0.3215,0.005,0.001865,3.37E-04,0.0020935,1.21E-05,0.0042,6.55E-05,1.11E-04,5.79E-04,0.001457,3.52E-04,5.20E-05,0,5.20E-05,8.20E-05,0.0698,0,0,0,1.00E-06,0,0,2.80E-05,6.90E-04,0,0,1.459,1.685,2.778,0,6.00E-07
AMARANTH LEAVES,91.49,21,2.11,0.18,2.11,4.11,0,0,0.209,0.00226,0.055,0.072,0.641,0.021,8.80E-04,1.58E-04,8.61E-04,9.00E-07,0.0411,2.00E-05,1.34E-04,5.59E-04,6.20E-05,1.77E-04,5.70E-05,0,5.70E-05,5.70E-05,0,0,0,0,0,0,0,0,0,0,0.00114,0.05,0.041,0.08,0,8.31E-04
ANCHOVY,61.835,170.5,24.62,7.275,6.27,0,0,0,0.1895,0.00394,0.055,0.213,0.4635,1.886,0.00208,2.75E-04,8.50E-05,5.23E-05,0,6.65E-05,3.10E-04,0.0169635,7.77E-04,1.73E-04,1.10E-05,0,1.10E-05,1.10E-05,0.085,7.50E-07,1.35E-05,0,0,0,0,0,0.00195,1.70E-06,6.10E-06,1.7425,2.476,2.0995,0.0725,1.35E-05
ANDREA'S,44.6,257,5.65,8.2,1.31,40.24,2.9,2.98,0.041,8.90E-04,0.042,0.128,0.165,0.544,7.70E-04,1.11E-04,6.71E-04,9.20E-06,0,2.50E-04,0,0,0,1.40E-04,3.10E-05,0,3.10E-05,0,0,0,0,0,0,0,0,0,5.20E-04,0,0,0,0,0,0,0
ANIMAL FAT,0,897,0,99.5,0.5,0,0,0,0,0,0,0,0,0.15,1.10E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422,0,0,0,0,0,0,0,6.00E-04,2.50E-06,0,39.004,44.874,11.144,0.095,0
APPLE JUC,87.9,47,0.14,0.13,0.32,11.54,0.2,10.275,0.008,2.60E-04,0.005,0.007,0.126,0.007,4.00E-05,1.40E-05,7.40E-05,1.00E-07,0.025,1.10E-05,1.70E-05,7.30E-05,6.30E-05,3.30E-05,0,0,0,0,0.0018,0,0,0,0,0,0,1.60E-05,1.00E-05,0,0,0.022,0.006,0.039,0,0
APPLES,84.98,57.5,0.27,0.195,0.25,14.235,2.3,11.01,0.005,1.85E-04,0.0045,0.0105,0.102,0.0025,4.50E-05,4.30E-05,4.10E-05,2.00E-07,6.00E-04,1.45E-05,2.50E-05,9.10E-05,5.55E-05,4.45E-05,1.00E-06,0,1.00E-06,0,0.0034,0,0,0,2.05E-05,1.20E-05,0,1.85E-05,1.80E-04,0,1.15E-06,0.053,0.013,0.095,0,1.17E-05
APPLESAUCE,85.1,55,0.17,0.135,0.225,14.38,1.15,9.39,0.004,2.30E-04,0.003,0.0055,0.074,0.002,3.00E-05,2.95E-05,2.75E-05,3.00E-07,0.0017,2.15E-05,2.90E-05,8.40E-05,4.25E-05,2.70E-05,2.00E-06,0,2.00E-06,2.00E-06,0.0022,0,0,0,8.00E-06,5.50E-06,0,1.80E-05,1.60E-04,0,5.00E-07,0.019,0.0045,0.034,0,6.00E-06
APRICOT NECTAR,84.87,56,0.37,0.09,0.29,14.39,0.6,13.515,0.007,3.80E-04,0.005,0.009,0.114,0.003,9.00E-05,7.30E-05,3.20E-05,1.00E-07,0.0091,9.00E-06,1.40E-05,2.60E-04,9.60E-05,2.20E-05,1.00E-06,0,1.00E-06,1.00E-06,0.001,0,0,0,7.86E-04,7.00E-06,0,1.40E-05,3.10E-04,0,1.20E-06,0.006,0.038,0.017,0,3.95E-04
APRICOTS,77.56,83,0.695,0.105,0.44,21.46,1.6,16.77,0.0105,4.85E-04,0.009,0.0175,0.1785,0.004,1.10E-04,7.85E-05,5.30E-05,1.00E-07,0.0031,1.95E-05,2.40E-05,5.19E-04,9.20E-05,5.40E-05,2.00E-06,0,2.00E-06,2.00E-06,0.0023,0,0,0,0.001052,8.50E-06,0,2.60E-05,7.45E-04,0,2.20E-06,0.007,0.0435,0.0205,0,5.25E-04
ARBY'S,49.91,242,15.17,10.3,2.41,22.21,1.3,3.84,0.055,0.00264,0.023,0.2,0.224,0.653,0.00227,1.09E-04,2.34E-04,1.82E-05,0,2.17E-04,2.87E-04,0.004343,0,2.15E-04,5.10E-05,0,0,0,0,9.60E-07,0,0,0,0,0,0,0,0,0,3.399,3.987,1.762,0.03,0
ARROWHEAD,77.08,78,4.49,0.1,2.19,16.14,0,0,0.007,0.00121,0.049,0.197,0.881,0.022,2.20E-04,1.35E-04,2.85E-04,6.00E-07,3.00E-04,1.44E-04,6.00E-05,0.00116,4.49E-04,2.06E-04,9.00E-06,0,9.00E-06,9.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARROWROOT,80.75,65,4.24,0.2,1.42,13.39,1.3,0,0.006,0.00222,0.025,0.098,0.454,0.026,6.30E-04,1.21E-04,1.74E-04,7.00E-07,0.0019,1.43E-04,5.90E-05,0.001693,2.92E-04,2.66E-04,3.38E-04,0,3.38E-04,3.38E-04,0,0,0,0,1.10E-05,0,0,0,0,0,0,0.039,0.004,0.092,0,5.70E-06
ARTICHOKES,85.72,46,3,0.385,0.725,9.845,5,0.99,0.021,5.85E-04,0.0365,0.067,0.275,0.077,3.80E-04,9.40E-05,2.50E-04,2.00E-07,0.00635,6.00E-05,1.15E-04,9.81E-04,2.20E-04,8.45E-05,1.04E-04,0,1.04E-04,1.04E-04,0.0344,0,0,0,8.00E-06,0,0,4.64E-04,1.90E-04,0,1.48E-05,0.089,0.0115,0.162,0,3.90E-06
ARTIFICIAL BLUEBERRY MUFFIN MIX,6.4,407,4.7,8.7,2.75,77.45,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.865,3.742,1.679,0,0
ARUGULA,91.71,25,2.58,0.66,1.4,3.65,1.6,2.05,0.16,0.00146,0.047,0.052,0.369,0.027,4.70E-04,7.60E-05,3.21E-04,3.00E-07,0.015,4.40E-05,8.60E-05,3.05E-04,4.37E-04,7.30E-05,9.70E-05,0,9.70E-05,9.70E-05,0.0153,0,0,0,0.001424,0,0,0.003555,4.30E-04,0,1.09E-04,0.086,0.049,0.319,0,7.12E-04
ASPARAGUS,93.98,19,2.4,0.22,0.63,2.48,1.6,1.06,0.018,7.30E-04,0.01,0.049,0.172,0.026,4.70E-04,1.07E-04,1.54E-04,2.30E-06,0.0165,6.50E-05,1.03E-04,0.001038,1.58E-04,9.10E-05,1.35E-04,0,1.35E-04,1.35E-04,0.02115,0,0,0,4.83E-04,0,2.40E-05,6.30E-04,0.0012,0,5.06E-05,0.048,0.006,0.105,0,2.42E-04
AVOCADOS,73.23,160,2,14.66,1.58,8.53,6.7,0.66,0.012,5.50E-04,0.029,0.052,0.485,0.007,6.40E-04,1.90E-04,1.42E-04,4.00E-07,0.01,6.70E-05,1.30E-04,0.001738,0.001389,2.57E-04,8.10E-05,0,8.10E-05,8.10E-05,0.0142,0,0,2.40E-05,6.20E-05,2.80E-05,0,2.71E-04,0.00207,0,2.10E-05,2.126,9.799,1.816,0,4.38E-05
BACON,48.98,309,12.53,29.52,2.93,4.8,0,0,0.01,7.20E-04,0.019,0.145,0.17,0.9,0.00119,6.30E-05,1.10E-05,1.34E-05,0,0.0022145,3.32E-04,0.006891,3.65E-04,4.40E-04,2.40E-05,0,2.40E-05,2.40E-05,0.05095,5.00E-07,4.00E-06,0,0,0,0,0,0.0027,1.00E-07,0,5.6445,7.833,9.858,0.05,7.50E-06
BACON BITS,8,476,32,25.9,5.5,28.6,10.2,0,0.101,7.20E-04,0.095,0.217,0.145,1.77,0.00187,5.39E-04,0,7.40E-06,0.0019,6.00E-04,7.00E-05,0.0016,0,8.00E-05,1.27E-04,0,1.27E-04,1.27E-04,0.1348,1.20E-06,0,0,0,0,0,0,0.0069,0,0,4.055,6.225,13.548,0,0
BAGEL,33.81,264,10.56,1.32,1.93,52.38,1.6,8.43,0.219,0.00357,0.029,0.099,0.107,0.422,8.30E-04,1.28E-04,5.39E-04,2.15E-05,0,5.68E-04,3.44E-04,0.004515,4.07E-04,7.00E-05,1.06E-04,8.20E-05,2.40E-05,1.63E-04,0.0146,0,0,0,0,0,0,0,0.00746,0,2.00E-07,0.36,0.39,0.526,0,0
BAGELS,32.6,275,10.5,1.6,1.8,53.4,2.3,6.43,0.019,0.00356,0.029,0.096,0.116,0.457,9.00E-04,1.63E-04,5.58E-04,2.96E-05,0,4.03E-04,2.68E-04,0.00337,3.69E-04,6.20E-05,8.80E-05,5.60E-05,2.20E-05,1.34E-04,0.0153,0,0,0,1.00E-06,0,0,5.80E-05,3.20E-04,0,7.00E-07,0.22,0.188,0.696,0,6.00E-07
BAKING CHOC,1.5,472,4.78,23.36,1.78,68.4,4,62.54,0.054,0.00218,0.18,0.241,0.7815,0.012,0.00247,0.00129,0.0010495,4.85E-06,1.00E-04,5.35E-05,1.92E-04,0.0019645,1.67E-04,5.30E-05,1.20E-05,0,1.20E-05,1.20E-05,0.0456,0,0,0,0,0,0,7.00E-06,3.60E-04,0,2.20E-06,14.466,7.137,5.931,0,3.60E-06
Baking chocolate,1.34,642,14.32,52.31,3.6,28.42,16.6,0.91,0.101,0.0174,0.327,0.4,0.83,0.024,0.00963,0.003233,0.004167,8.10E-06,0,1.47E-04,1.00E-04,0.001355,1.68E-04,2.70E-05,2.80E-05,0,2.80E-05,2.80E-05,0.0457,0,0,0,0,0,0,3.80E-05,4.00E-04,0,9.70E-06,32.277,16.068,1.551,0.002,0
BALSAM-PEAR (BITTER GOURD),91.6,24.5,2.3,0.19,0.965,4.32,2,1.495,0.0305,7.25E-04,0.051,0.0565,0.4605,0.012,5.35E-04,1.18E-04,3.13E-04,5.50E-07,0.0556,9.90E-05,1.67E-04,6.98E-04,1.28E-04,4.02E-04,8.00E-05,0,8.00E-05,8.00E-05,0.0159,0,0,0,1.90E-04,0,0,0.001323,7.95E-04,0,8.40E-05,0.023,0.019,0.0805,0,3.31E-04
BAMBOO SHOOTS,95.12,15.5,1.625,0.26,0.61,2.57,1.2,2.445,0.012,2.80E-04,0.003,0.0225,0.533,0.0055,5.60E-04,9.80E-05,1.35E-04,4.50E-07,5.50E-04,2.30E-05,5.00E-05,3.00E-04,7.90E-05,1.17E-04,2.50E-06,0,2.50E-06,2.50E-06,0,0,0,0,1.00E-05,0,0,0,8.15E-04,0,0,0.06,0.006,0.116,0,1.95E-06
BANANAS,38.955,217.5,2.49,1.07,1.92,55.56,6.25,29.765,0.0135,7.05E-04,0.0675,0.048,0.9245,0.002,3.80E-04,2.35E-04,4.22E-04,2.45E-06,0.00785,1.06E-04,1.57E-04,0.0017325,3.34E-04,4.04E-04,1.70E-05,0,1.70E-05,1.70E-05,0.0147,0,0,6.05E-05,6.35E-05,0,0,5.30E-05,2.45E-04,0,1.25E-06,0.405,0.0925,0.205,0,4.68E-05
BANQUET,73.47,155,6.89,11.1,1.58,6.96,1,0.28,0.051,9.80E-04,0.017,0.135,0.142,0.517,7.30E-04,8.40E-05,1.73E-04,7.70E-06,0,6.20E-05,1.20E-04,0.00138,0,1.40E-04,1.30E-05,0,1.30E-05,0,0,3.80E-07,0,0,0,0,0,0,2.90E-04,0,0,4.282,5.158,1.656,0.036,0
BARBARA DEE,2,515,3.9,26,0,67.1,2,35.8,0,0.0026,0.02,0.048,0.065,0.29,2.00E-04,0,0,0,0,2.60E-04,1.70E-04,0.0023,0,0,5.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2.7,3.8,0,0
BARBECUE LOAF,64.82,173,15.84,8.9,4.04,6.4,0,0,0.055,0.00116,0.017,0.132,0.329,1.334,0.00246,7.00E-05,4.00E-05,2.13E-05,0,3.60E-04,2.48E-04,0.002266,0.00157,2.60E-04,9.00E-06,0,9.00E-06,9.00E-06,0,1.68E-06,0,0,0,0,0,0,0,9.00E-07,0,3.17,4.14,0.81,0.037,2.04E-05
BARLEY,10.09,352,9.91,1.16,1.11,73.48,15.6,0.8,0.029,0.0025,0.079,0.221,0.28,0.009,0.00213,4.20E-04,0.001322,3.77E-05,0,1.91E-04,1.14E-04,0.004604,2.82E-04,2.60E-04,1.90E-05,0,1.90E-05,1.90E-05,0.0256,0,0,0,1.30E-05,0,0,1.60E-04,2.00E-05,0,2.20E-06,0.244,0.149,0.56,0,6.60E-06
BASIL,92.06,23,3.15,0.64,1.49,2.65,1.6,0.3,0.177,0.00317,0.064,0.056,0.295,0.004,8.10E-04,3.85E-04,0.001148,3.00E-07,0.018,3.40E-05,7.60E-05,9.02E-04,2.09E-04,1.55E-04,6.80E-05,0,6.80E-05,6.80E-05,0.0114,0,0,0,0.003142,4.60E-05,0,0.00565,8.00E-04,0,4.15E-04,0.041,0.088,0.389,0,0.0015825
BASS,74.51,119,20.795,3.34,1.425,0,0,0,0.0495,0.001285,0.039,0.227,0.342,0.079,5.80E-04,6.65E-05,4.54E-04,2.64E-05,0.001,9.35E-05,5.55E-05,0.001811,8.08E-04,2.19E-04,1.25E-05,0,1.25E-05,1.25E-05,0,3.07E-06,3.05E-05,0,0,0,0,0,0,0,0,0.715,1.1385,1.0335,0.0835,3.06E-05
BEANS,69.89,118,7.07,0.49,1.33,21.09,6.3,1.41,0.047,0.00193,0.045,0.108,0.325,0.092,8.60E-04,2.09E-04,3.82E-04,1.30E-06,0.0012,1.30E-04,6.40E-05,5.46E-04,2.27E-04,9.95E-05,7.40E-05,0,7.40E-05,7.40E-05,0.0305,0,0,0,0,0,0,0,2.10E-04,0,5.60E-06,0.091,0.039,0.199,0,9.00E-07
BEAR,70.75,142.5,22.85,5.7,0.7,0,0,0,0.017,0.00665,0,0.162,0.04,0,0,0,0,0,0.002,9.15E-05,6.27E-04,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,2,0.46,0,2.49E-04
BEAR NAKED,7.75,433,7.05,19.15,0,64.25,7.05,32.3,0,0.0029,0.0455,0.087,0.3745,0.1665,7.00E-04,0,0,0,0,8.00E-05,6.50E-05,4.00E-04,0,6.00E-05,4.50E-06,0,4.50E-06,0,0,0,0,0,0,0,0,0,9.00E-04,2.00E-07,0,4.6,8.45,5.75,0,0
BEECHNUTS,6.6,576,6.2,50,3.7,33.5,0,0,0.001,0.00246,0,0,1.017,0.038,3.60E-04,6.70E-04,0.001341,0,0.0155,3.04E-04,3.71E-04,8.77E-04,9.25E-04,6.84E-04,1.13E-04,0,1.13E-04,1.13E-04,0,0,0,0,0,0,0,0,0,0,0,5.719,21.892,20.089,0,0
BEEF,62.58,199,24.04,9.39,1.05,0,0,0,0.012,0.00234,0.021,0.204,0.315,0.062,0.005125,8.30E-05,1.20E-05,2.51E-05,0,7.40E-05,1.95E-04,0.0048755,5.67E-04,4.24E-04,7.00E-06,0,7.00E-06,7.00E-06,0.0848,2.34E-06,2.00E-06,0,0,0,0,0,2.20E-04,1.00E-07,1.50E-06,3.585,4.117,0.436,0.079,1.80E-06
BEEF COMP,61.51,203,28.73,9.16,1.08,0,0,0,0.011,0.00249,0.022,0.197,0.298,0.053,0.00584,8.50E-05,3.20E-05,3.31E-05,0,7.60E-05,2.13E-04,0.006148,5.25E-04,5.23E-04,8.00E-06,0,8.00E-06,8.00E-06,0.0892,1.99E-06,1.00E-06,0,0,0,0,0,2.70E-04,1.00E-07,1.50E-06,3.536,4.059,0.455,0.082,6.00E-07
BEEF JERKY,23.36,410,33.2,25.6,6.8,11,1.8,9,0.02,0.00542,0.051,0.407,0.597,2.081,0.00811,2.27E-04,1.11E-04,1.07E-05,0,1.54E-04,1.42E-04,0.001732,1.63E-04,1.79E-04,1.34E-04,0,1.34E-04,1.34E-04,0.1091,9.90E-07,0,0,0,0,0,0,4.90E-04,3.00E-07,2.30E-06,10.85,11.305,1.011,0.048,0
BEEF MACARONI W/ TOMATO SAU,73,113,5.89,1.96,1.15,17.99,1.4,3.8,0.012,0.0013,0.017,0.065,0.202,0.178,0.00108,1.23E-04,1.74E-04,1.22E-05,0.0039,1.16E-04,9.20E-05,0.001806,2.37E-04,1.17E-04,3.10E-05,2.30E-05,8.00E-06,4.80E-05,0.0178,2.90E-07,0,1.00E-06,9.10E-05,0,0.005196,5.00E-06,6.50E-04,0,2.60E-06,0.443,0.816,0.228,0.01,4.56E-05
BEEF POT PIE,58.05,220,7.25,11.39,1.26,22.05,0.8,0,0.014,0.00125,0.013,0.067,0.115,0.365,0.0011,3.00E-05,2.07E-04,5.30E-06,3.00E-04,1.97E-04,8.70E-05,0.001633,1.45E-04,1.33E-04,1.80E-05,1.50E-05,3.00E-06,2.80E-05,0.0196,3.20E-07,0,0,0,0,0,0,2.60E-04,0,2.70E-06,4.149,5.312,1.462,0.021,0
BEEF SAUSAGE,47.435,368.5,16.855,32.775,2.75,0.19,0,0,0.013,0.00155,0.0135,0.163,0.246,0.8175,0.00365,6.75E-05,2.10E-05,0,3.50E-04,3.80E-05,1.34E-04,0.003405,4.58E-04,2.53E-04,4.00E-06,0,4.00E-06,4.00E-06,0.0471,2.02E-06,1.70E-05,1.10E-05,1.30E-05,1.10E-05,1.30E-05,0,3.65E-04,5.50E-07,1.60E-06,13.0015,14.513,0.844,0.0825,2.93E-05
BEEF STEW,80.78,99,4.41,5.53,1.43,7.85,0.9,1.76,0.012,0.00248,0.008,0.042,0.163,0.388,0.001,1.41E-04,5.90E-05,4.70E-06,7.00E-04,7.30E-05,5.30E-05,0.001096,1.20E-04,8.70E-05,1.40E-05,0,1.40E-05,1.40E-05,0.0156,5.00E-07,0,5.30E-05,1.06E-04,3.00E-06,2.80E-05,4.00E-06,2.70E-04,0,6.20E-06,2.185,2.543,0.251,0.013,6.69E-05
BEERWURST,59.085,257.5,14.12,20.665,2.97,2.91,0.45,0,0.0175,0.001245,0.016,0.119,0.2485,1.0605,0.001965,7.65E-05,9.35E-05,1.91E-05,3.00E-04,4.00E-04,1.83E-04,0.0031145,3.93E-04,2.90E-04,4.00E-06,0,4.00E-06,4.00E-06,0.0671,1.01E-06,1.50E-06,0,0,0,0,0,1.90E-04,9.00E-07,1.30E-06,7.359,9.5425,2.22,0.0605,1.50E-06
BEET GREENS,91.02,22,2.2,0.13,2.33,4.33,3.7,0.5,0.117,0.00257,0.07,0.041,0.762,0.226,3.80E-04,1.91E-04,3.91E-04,9.00E-07,0.03,1.00E-04,2.20E-04,4.00E-04,2.50E-04,1.06E-04,1.50E-05,0,1.50E-05,1.50E-05,4.00E-04,0,0,3.00E-06,0.003794,0,0,0.001503,0.0015,0,4.00E-04,0.02,0.026,0.046,0,0.0018978
BEET GRNS,89.13,27,2.57,0.2,2.64,5.46,2.9,0.6,0.114,0.0019,0.068,0.041,0.909,0.359,5.00E-04,2.51E-04,5.14E-04,9.00E-07,0.0249,1.17E-04,2.89E-04,4.99E-04,3.29E-04,1.32E-04,1.40E-05,0,1.40E-05,1.40E-05,0.0215,0,0,4.00E-06,0.00459,0,0,0.001819,0.00181,0,4.84E-04,0.031,0.038,0.07,0,0.0022962
BEETS,87.32,43.5,0.875,0.115,0.95,9.76,1.9,6.76,0.0155,7.60E-04,0.0185,0.017,0.1615,0.146,3.00E-04,7.45E-05,3.07E-04,7.00E-07,0.0032,1.00E-05,4.00E-05,2.04E-04,1.50E-04,5.60E-05,2.95E-05,0,2.95E-05,2.95E-05,0.0069,0,0,0,2.00E-05,0,0,0,4.00E-05,0,2.00E-07,0.0175,0.0215,0.039,0,8.55E-06
BEV,93.1,28,0.1,0,0.295,6.67,0,5.245,0.025,3.00E-05,0.002,0,0.031,0.0305,4.00E-05,9.00E-06,1.40E-05,0,0.00395,0,0,2.60E-05,2.59E-04,3.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0,0,0,0,0,0,1.35E-06
BEVE,87.18,49,2.19,0.23,0.81,12.21,0.8,11.91,0.06,6.80E-04,0.019,0.078,0.18,0.01,3.20E-04,7.90E-05,3.65E-04,1.90E-06,5.00E-04,3.00E-05,1.70E-04,1.10E-04,2.99E-04,1.00E-05,9.00E-06,0,9.00E-06,9.00E-06,0.0116,0,0,0,0,0,0,0,2.90E-04,0,6.00E-07,0.164,0.064,0.056,0,6.00E-07
BEVER,50.05,115.5,0.125,0.08,3.7,46.05,1.1,0.315,0.404,1.90E-04,0.123,0.247,1.271,0.014,1.00E-05,1.15E-05,6.50E-06,0,1.21255,5.00E-06,0.0034005,0.0400065,1.25E-05,0.004002,2.50E-06,0,2.50E-06,2.50E-06,1.50E-04,0,0.002998,1.50E-06,6.28E-04,5.00E-06,7.20E-05,7.50E-06,5.75E-04,0,5.00E-08,0.005,0.019,0.017,0,0.0033135
BEVERA,81.49,86,3.67,3.21,0.97,10.67,0,8.37,0.123,0.00136,0.015,0.107,0.2,0.072,4.10E-04,4.40E-05,3.70E-05,4.20E-06,0.0104,2.77E-04,4.55E-04,0.003993,3.53E-04,3.25E-04,6.00E-06,0,6.00E-06,6.00E-06,0,4.00E-07,2.80E-04,0,5.00E-06,0,0,0,0,0,4.00E-07,1.83,0.802,0.213,0.011,2.83E-04
BEVERAG,43.655,227.5,15.58,7.44,2,30.595,9.3,15.54,0.589,0.01313,0.245,0.336,0.4845,0.291,0.00886,4.22E-04,0.134577,3.56E-05,0.0579,8.93E-04,5.69E-04,0.021303,0.0078875,0.001345,1.95E-04,1.92E-04,3.00E-06,3.29E-04,0.0085,4.25E-06,6.11E-04,0,3.50E-06,0,0,5.00E-07,0.025995,6.35E-06,2.00E-07,1.6165,4.9665,0.6375,0.008,6.13E-04
BEVERAGE,12.8,329,4.55,1.4,1.8,41,0.4,39,0.285,5.00E-05,0.053,0.086,0.28,0.136,0.0036,8.00E-04,3.55E-04,1.90E-06,0.0118,9.00E-06,5.60E-05,0.00125,0,3.38E-04,4.00E-06,0,0,4.00E-06,0.055,1.02E-06,0,0,0,0,0,0,4.00E-05,0,2.00E-07,0.56,0.001,0.001,0,6.00E-07
