Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
ELK,71.73,120.5,24.795,2.45,0.86,0,0,0,0.004,0.004925,0.025,0.2255,0.368,0.0495,0.00531,1.57E-04,2.70E-05,1.81E-05,0,1.70E-04,3.34E-04,0.00724,8.70E-04,8.38E-04,1.00E-06,0,1.00E-06,1.00E-06,0,2.70E-06,0,0,0,0,0,0,6.30E-04,0,0,0.9765,0.9245,0.1335,0.0665,0
EMU,72.72,137.5,22.955,2.155,1.145,0,0,0,0.005,0.005005,0.03,0.236,0.32,0.101,0.003955,2.11E-04,2.85E-05,3.44E-05,0,3.22E-04,4.58E-04,0.0075015,0.002746,6.60E-04,1.10E-05,0,1.10E-05,1.10E-05,0,6.71E-06,0,0,0,0,0,0,2.30E-04,0,3.60E-06,0.6185,0.888,0.3685,0.0815,0
ENDIVE,93.79,17,1.25,0.2,1.41,3.35,3.1,0.25,0.052,8.30E-04,0.015,0.028,0.314,0.022,7.90E-04,9.90E-05,4.20E-04,2.00E-07,0.0065,8.00E-05,7.50E-05,4.00E-04,9.00E-04,2.00E-05,1.42E-04,0,1.42E-04,1.42E-04,0.0168,0,0,0,0.0013,0,0,0,4.40E-04,0,2.31E-04,0.048,0.004,0.087,0,6.50E-04
ENGLISH,32.97,270,10.32,2.02,2.04,52.65,2.8,3.47,0.197,0.00465,0.028,0.107,0.129,0.477,0.0014,1.60E-04,6.30E-04,2.63E-05,0.0017,5.41E-04,2.80E-04,0.00499,3.32E-04,6.70E-05,1.19E-04,8.80E-05,3.10E-05,1.80E-04,0.0157,5.00E-08,0,0,0,0,0,4.70E-05,3.60E-04,0,1.40E-06,0.533,0.478,0.921,0,0
ENGLISH MUFFIN,43.56,227,8.87,1.69,1.71,44.17,3.5,3.53,0.163,0.004,0.024,0.092,0.109,0.425,0.00105,1.35E-04,5.05E-04,2.24E-05,0.0018,4.77E-04,2.50E-04,0.00407,3.63E-04,5.40E-05,9.40E-05,5.50E-05,4.00E-05,1.32E-04,0.016,4.00E-08,0,0,0,0,0,4.20E-05,3.10E-04,0,1.20E-06,0.733,0.383,0.498,0,0
ENGLISH MUFFINS,40.8,235,8.75,1.85,2.25,46.15,3,1.75,0.176,0.002765,0.035,0.13,0.171,0.374,0.001025,1.64E-04,7.20E-04,2.77E-05,0,3.75E-04,2.30E-04,0.003383,4.44E-04,6.40E-05,6.55E-05,3.30E-05,3.60E-05,8.80E-05,0.0145,0,0,0,1.00E-06,0,0,6.70E-05,3.60E-04,0,1.00E-06,0.273,0.409,0.8345,0,0
EPAZOTE,89.21,32,0.33,0.52,2.5,7.44,3.8,0,0.275,0.00188,0.121,0.086,0.633,0.043,0.0011,1.90E-04,0.003098,9.00E-07,0.0036,2.80E-05,3.48E-04,6.39E-04,1.79E-04,1.52E-04,2.15E-04,0,2.15E-04,2.15E-04,0,0,0,0,3.80E-05,0,0,0,0,0,0,0,0,0,0,1.71E-05
EPPAW,60,150,4.6,1.8,1.92,31.68,0,0,0.11,0.00115,0.032,0.165,0.34,0.012,0.00115,2.34E-04,0.001094,9.00E-07,0.013,1.10E-04,1.20E-04,3.00E-04,0.001172,1.76E-04,2.40E-05,0,2.40E-05,2.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESCAROLE,94.29,19,1.15,0.18,1.3,3.07,2.8,0.23,0.046,7.20E-04,0.013,0.022,0.245,0.019,6.90E-04,8.70E-05,3.85E-04,2.00E-07,0.0033,5.90E-05,6.20E-05,3.12E-04,8.26E-04,1.60E-05,7.80E-05,0,7.80E-05,7.80E-05,0.0154,0,0,0,0.001133,0,0,0,4.00E-04,0,2.12E-04,0.042,0.004,0.081,0,5.66E-04
FALAFEL,34.62,333,13.31,17.8,2.43,31.84,0,0,0.054,0.00342,0.082,0.192,0.585,0.294,0.0015,2.58E-04,6.91E-04,1.00E-06,0.0016,1.46E-04,1.66E-04,0.001044,2.92E-04,1.25E-04,9.30E-05,1.50E-05,7.80E-05,1.04E-04,0,0,0,0,0,0,0,0,0,0,0,2.383,10.171,4.16,0,3.90E-06
FAMOUS AMOS,2.25,494,4.7,21.7,0,70,2.5,34.8,0,0.0024,0.036,0.0865,0.1665,0.3575,4.00E-04,0,0,0,0,3.35E-04,2.00E-04,0.00245,0,2.00E-05,6.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5.1,7.15,0.0035,0
